ID,NAME,EMAIL,MOBILE,ADDRESS,ORG_ID,IS_ACTIVE,REFRESH_TOKEN,ROLE,PASSWORD,IS_REGISTERED,ROLE_CODE,E_SIGN,VERIFIED,OTP,CREATED_AT,EXPIRES_AT,CURRENT_STEP,IS_ORG_HEAD,DRIVER_LICENCE_NO,YEAR_OF_EXPERIENCE,DRIVER_LICENCE_VALIDITY,AADHAR_NUMBER,OWNERSHIP,CITY,PERSONAL_EMAIL,DELETED,REVOKED,REVOKE_EXPIRES_AT,OTHERS_VERIFIED,FP_VERIFIED,FP_EXPIRES_AT,FP_CURRENT_STEP
93,user,sdsdsd@sdsd.com,,,1,,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoic2RzZHNkQHNkc2QuY29tIiwiaWF0IjoxNjUzNTUyNTA2LCJleHAiOjE2NTQ3NjIxMDZ9.I0uFVPqpI48d05bofQ7B2Io_Zb3oxRo1OSX9X-g70qo,INCOMPLETE_PROFILE,$2b$10$9MhZFaMLgfk3NAc22ePpTuYqw83YPOxYP3rTpMp.pHIxFnHw2xZEG,f,2204,asasas,f,,,,2,t,,,,,,,,f,f,,f,f,,1
95,user,vikivarun11@gmail.com,,,1,,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidmlraXZhcnVuMTFAZ21haWwuY29tIiwiaWF0IjoxNjUzNTUyODEwLCJleHAiOjE2NTQ3NjI0MTB9.eHh05jYNOnuoww3tbpWCV1m-jiFBNgEEZbBlHafNb14,INCOMPLETE_PROFILE,$2b$10$jvbJ7WBp1iEh.hToIjKp4.QSFgCiUHePyQjxPowXETEqKbK6OHADO,f,2204,asasas,f,,,,2,t,,,,,,,,f,f,,f,f,,1
12,vigneshwaran,9898989898,,,1,,,INCOMPLETE_PROFILE,$2b$10$fhynKy13RQXNz8GIA8fgXOeOWyptHbp93ny3rEqfKXbcpshD7Qd7a,f,2204,sdsd,f,,,,3,t,,,,,,,,f,f,,,f,,1
86,Mani kandan,vikivarun7@gmail.com,,,75,,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VyIjoidmlraXZhcnVuN0BnbWFpbC5jb20iLCJpYXQiOjE2NTQyNTA4MzksImV4cCI6MTY1NTQ2MDQzOX0.rhz9w-XGt7xQ2b5wE1wmN4MVMb5KrZ7QuDCJMQpSLrg,DRIVER,$2b$10$oAKBG1HZs9ByJbsgLUFvfOTvjkwsfCFDQis76d2ePlhXQO1NXAO7O,t,1001,sdsdsd,t,,,,4,t,84584545454,12,2022-05-28,4545 4545 5555,Owner,chennai,,f,f,,f,f,,1
92,nsdnsdjs,vikivaran7@gmail.com,,,78,,,DRIVER,$2b$10$X0IhcjnATshSCk2NhHEnGufIF1EE7If.lRD2UTgyIj2tjoyyYqqVq,t,1001,sdsds,t,,,,4,t,834834834,12,2022-06-04,3282 3828 3233,Owner,chennai,,f,f,,f,f,,1
75,drivers69,vikivarun789@gmail.com,,,68,,,DRIVER,$2b$10$3UHitJvArMhKFOJRAM4fP.AEn692gpcJBSK7VDLnA//hhcRVd6ENy,t,1001,sdsdsd,t,,,,4,t,39349394394,2024,2022-05-28,8343 4348 3284,Owner,chennai,,f,f,,,f,,1
3,newUser,newUser@gmail.com,1234567890,,12,,,CUSTOMER,$2b$10$5VF4lzvpqJW5ywq9lnMWuuFer2VgzgRrDD4yQmkXJlGrUB3J812Qm,t,,,f,,,,2,t,,,,,,,,f,f,,,f,,1
72,admin,admin@egadi.com,,,64,,,ADMIN,$2b$10$dbVt9zPEDz5aWNqFkWH.nehC5RqKq96rErQu5YUcUe7XeB1IHWJTG,t,9999,,t,,,,4,t,122323232323,12,2022-05-27,3343 4343 4344,other,chennai,,f,f,,,f,,1
4,randomUser,1234567890,121211,,13,,,CUSTOMER,$2b$10$bI8UI56ohHaHIzZSjeR3F.iSvpyXG0Qgl6BBu/p3didNT0PgyJez.,t,,,f,,,,2,t,,,,,,,,f,f,,,f,,1
71,custoemr,customer1@customer.com,,,63,,,DRIVER,$2b$10$RgFhVn1kuuc3un9EBtF6X.1suGvm0.TJFJq/iCZV6JZ5F/OxSE7uK,t,1001,,t,,,,4,t,21323232323,12,2022-05-20,2323 2323 2323,Own goods,casas,,f,f,,,f,,1
